seed,adam_const_xT,amsgrad_const_xT,adam_dec_xT,amsgrad_dec_xT
0,-1.0,-1.0,0.9448420540317184,-1.0
1,-1.0,-0.06501552123753598,0.9689850667429527,-0.9726039813751886
2,-1.0,-1.0,0.9710493246676093,-0.9880862203674717
3,-0.07348666944572607,-0.47790153333310725,0.6587737430244296,-0.9925478087730696
4,-1.0,-1.0,0.8934818438941843,-1.0
5,1.0,-0.6673749065753748,0.605505773407367,-0.9952851127324788
6,-1.0,-1.0,0.5639365372394463,-1.0
7,-0.964610547622948,-0.9980943569020195,0.30719613087472797,-0.9999730501368579
8,-1.0,-1.0,0.9372370835576412,-0.9848313837851882
9,1.0,-0.5325674104179718,1.0,-0.9933668931343038
10,-0.7951051855690583,-0.9886256263403852,0.500422682380828,-0.9998391369001451
11,1.0,1.0,0.31303757715837655,-0.9632029139311674
12,1.0,-0.3033043281365502,1.0,-0.9901379876479497
13,1.0,1.0,1.0,-0.9665281771266299
14,-0.5345589423807471,-1.0,0.9094572478617566,-1.0
15,1.0,-0.25330230331950476,1.0,-0.9894123523691001
16,-1.0,-1.0,0.7633570102182661,-1.0
17,0.7327230220106955,-0.9085080715562217,0.8160743197505665,-0.998703995294972
18,0.8874241329579851,-0.9538615025867058,0.5957891697826461,-0.9993474223007889
19,0.02693337018827364,-0.9987269941175527,0.7452430086693109,-0.9999819969781606
20,1.0,-0.08053244404537566,0.7848253867150607,-0.9869813562743901
21,0.9312407148375343,-0.5584587047406973,0.5772896572084517,-0.9937499951734827
22,1.0,0.5639286984433264,1.0,-0.9778056939592692
23,1.0,-0.2645026307257652,0.9907785152164267,-0.9895881447830329
24,-1.0,-1.0,0.6709023987202167,-1.0
25,0.46385495590892434,-0.9064856628463843,0.8786538732891844,-0.9977861359181958
26,0.2599008269937111,-0.9451760776283321,0.8040244018618673,-0.9992212322014649
27,-0.6755864663451658,-1.0,0.9415537661036476,-1.0
28,-1.0,-1.0,0.9526162066013165,-1.0
29,1.0,-0.2753413307223802,0.8373825059429009,-0.9897194751312436
30,-1.0,-1.0,0.9012125653115839,-0.993173386283034
31,-1.0,-1.0,0.7909353850663385,-0.7416402611547049
32,1.0,-0.4173928488961814,0.788063009357197,-0.9917539976585075
33,1.0,-0.858905460032461,0.9501552330162565,-0.9313916033589957
34,-1.0,-1.0,0.8095925653671882,-1.0
35,-0.9007084865909096,-1.0,0.32808781772812373,-1.0
36,1.0,-0.38146335579988094,0.7513943140691846,-0.9912449111189566
37,-1.0,-1.0,0.2239758202978339,-1.0
38,-1.0,-1.0,-0.011369839474443252,-1.0
39,-1.0,-0.7186786011604275,0.9152280954414799,-0.9786780844310166
40,0.5858221831743966,-1.0,0.5358419214174495,-1.0
41,0.26044010055114253,-1.0,0.5986819864412901,-1.0
42,0.4948128231151593,-0.8676908512774492,0.9370705605035803,-0.9980628840020751
43,-1.0,-0.8699964278031904,0.951372077843281,-0.9980691220834275
44,0.07868668816625184,-0.9982456182503332,0.8005424439317274,-0.9999751892953604
45,0.5739031417660139,-0.6150945473130521,0.9777682877695618,-0.9945471351095853
46,-1.0,-1.0,0.7354360566031501,-1.0
47,1.0,1.0,1.0,-0.856871750250477
48,-1.0,-1.0,0.8576695149988319,-1.0
49,0.8589965447428035,-0.361202675484615,0.8843666066335166,-0.9909540002464545
50,0.21268442740414906,-0.9599851624288075,0.2748733482349704,-0.9994340430742333
51,0.9289378567448225,-0.6662135241984178,0.8856919313575781,-0.9952757502603442
52,-1.0,-1.0,0.273905374009083,-1.0
53,0.8620024256652441,0.9120504952601859,0.9980483286214088,-0.954312041345954
54,1.0,-0.7636582641111274,0.9413420866818262,-0.9966562955339839
55,0.4890184889362277,-0.0018903629209072962,0.6552150529618538,-0.9858494748531028
56,1.0,-0.14310039969199023,0.975918226640644,-0.9854230315675083
57,0.5894477355032677,-0.989929709289276,0.9659110492777115,-0.999854653646889
58,-1.0,-1.0,0.8105590130887315,-1.0
59,-1.0,-1.0,0.08652356104395592,-1.0
60,-1.0,-1.0,0.8100418476167642,-1.0
61,0.5619798850172821,-0.9164157257031246,0.3180920721559226,-0.9988177117256989
62,-0.3567558628525081,-0.9651053419297464,0.6535278214264967,-0.9995064662445624
63,1.0,-0.8135448210592506,-0.5617204576217872,-0.9973588708536636
64,0.606257900923796,-1.0,0.6118955881190076,-1.0
65,-1.0,-1.0,0.6937600285395176,-1.0
66,0.9294246034816028,-0.6511144675203363,0.45447419795349553,-0.99506195954755
67,-0.6117803905956098,-1.0,0.8556310267775084,-0.9978681321706669
68,-0.9591804524151378,-0.9977187861560485,0.5895623591552841,-0.9999677387644321
69,1.0,-0.4029259771446193,0.4820834853630379,-0.9915415711325278
70,-0.5536459719094078,-1.0,0.6980013292302576,-1.0
71,-0.0452983712460996,-1.0,0.25678260281921256,-1.0
72,0.8622932927206092,-0.15147272448787322,0.4025330607651686,-0.9879814877616284
73,1.0,0.44150827228378775,1.0,-0.9795789403103867
74,-0.1499818978085634,-1.0,0.9837288210296304,-0.9702308089705246
75,1.0,-0.7796424894188064,0.9747108487988325,-0.9968824353347674
76,0.6501498895131408,-0.0702609892300051,0.7579119616140608,-0.9867669704608243
77,-1.0,-1.0,0.7399172054158212,-1.0
78,0.9198273122928915,-0.8802108392666781,0.9438118571708579,-0.9982332121947759
79,-0.17295855306263563,-0.9572661129318345,0.24751303397178478,-0.999395579260706
80,1.0,-0.45145047398310373,0.36746219805738994,-0.992223239840081
81,1.0,-0.48659504820036764,0.9659694902912379,-0.9927291667268741
82,1.0,0.2672265633420884,1.0,-0.9347124044609532
83,0.43874900011106077,0.8168401890106383,0.9920596232900208,-0.9693045289132128
84,0.9305884557903288,-0.592143524831827,0.9990183725279342,-0.9942269965904897
85,-1.0,-1.0,0.7869179495534685,-1.0
86,1.0,1.0,1.0,-0.9271251548723055
87,-1.0,-1.0,0.6194590335913904,-1.0
88,-0.753914439915736,-0.42567921250683727,0.7971647324520218,-0.9897495545937472
89,0.8110272664198556,-0.7665785815347673,0.9953777790463282,-0.9905199609998167
90,-1.0,-1.0,0.7692693361372547,-1.0
91,-0.06739532113351232,0.15693553041611502,0.9803944079528185,-0.983522172407012
92,1.0,-0.7467193848645439,1.0,-0.9752341762440434
93,-0.29045832855322046,-0.48995382405881865,0.888299345685045,-0.9927307657066141
94,0.4115371492603218,-0.6756079791005526,0.9916708238672015,-0.9953119044735127
95,0.41930072671249985,-0.8601897127682575,0.26375808696009245,-0.9980162965865401
96,-0.056613311396636,-0.7078795417452074,0.5539204406279917,-0.9958505951863519
97,0.1263848118126872,-1.0,0.553171269623364,-1.0
98,-1.0,-1.0,0.2306315739850999,-1.0
99,-1.0,-1.0,0.6823633530501441,-1.0
