C,k,beta2,xbar,dwell
10,0.05,0.995,-0.9479984610799488,0.0
10,0.1758227848101266,0.9824177215189873,-0.9463111017052939,0.0
10,0.30164556962025313,0.9698354430379746,-0.9445562405471687,0.0
10,0.4274683544303797,0.9572531645569621,-0.9427290144084646,0.0
10,0.5532911392405063,0.9446708860759494,-0.9408243199743989,0.0
10,0.6791139240506329,0.9320886075949367,-0.9388368272221314,0.0
10,0.8049367088607595,0.919506329113924,-0.9365405753792857,0.0
10,0.9307594936708861,0.9069240506329114,-0.9331786738650886,0.0
10,1.0565822784810126,0.8943417721518987,-0.9296975890660827,0.0
10,1.1824050632911391,0.8817594936708861,-0.9260890422989082,0.0
10,1.3082278481012657,0.8691772151898735,-0.9223447073402811,0.0
10,1.4340506329113922,0.8565949367088608,-0.9184563203168571,0.0
10,1.559873417721519,0.8440126582278481,-0.9144158145081406,0.0
10,1.6856962025316455,0.8314303797468354,-0.9088440381989376,0.0
10,1.811518987341772,0.8188481012658229,-0.9030473807531492,0.0
10,1.9373417721518986,0.8062658227848101,-0.8970483177968032,0.0
10,2.063164556962025,0.7936835443037975,-0.8903578053401386,0.0
10,2.1889873417721515,0.7811012658227848,-0.882426934272129,0.0
10,2.314810126582278,0.7685189873417722,0.7648576877500154,1.0
10,2.4406329113924046,0.7559367088607596,0.7686063839371442,1.0
10,2.566455696202531,0.7433544303797469,0.7722039039337815,1.0
10,2.6922784810126577,0.7307721518987342,0.7756535904794027,1.0
10,2.818101265822784,0.7181898734177216,0.7789581777826111,1.0
10,2.9439240506329107,0.7056075949367089,0.7821196773599344,1.0
10,3.0697468354430377,0.6930253164556962,0.7851392612255335,1.0
10,3.1955696202531643,0.6804430379746835,0.7880171459050109,1.0
10,3.321392405063291,0.667860759493671,0.7907524818088603,1.0
10,3.4472151898734174,0.6552784810126583,0.793343253508661,1.0
10,3.573037974683544,0.6426962025316456,0.795786197262667,1.0
10,3.6988607594936704,0.6301139240506329,0.7980767425591899,1.0
10,3.824683544303797,0.6175316455696203,0.8002089843047294,1.0
10,3.9505063291139235,0.6049493670886077,0.802175691431302,1.0
10,4.07632911392405,0.592367088607595,0.8039683560641098,1.0
10,4.202151898734177,0.5797848101265823,0.8055772850250165,1.0
10,4.327974683544303,0.5672025316455697,0.8062548297419052,1.0
10,4.45379746835443,0.554620253164557,0.8066871967543687,1.0
10,4.579620253164556,0.5420379746835444,0.806955009226769,1.0
10,4.705443037974683,0.5294556962025317,0.807051741722755,1.0
10,4.831265822784809,0.5168734177215191,0.8069701968854499,1.0
10,4.957088607594936,0.5042911392405064,0.806702594291996,1.0
10,5.082911392405062,0.4917088607594937,0.8062406743900716,1.0
10,5.208734177215189,0.47912658227848115,0.8055758125358002,1.0
10,5.3345569620253155,0.4665443037974685,0.8046991372760868,1.0
10,5.460379746835442,0.4539620253164558,0.8036016466478021,1.0
10,5.586202531645569,0.4413797468354431,0.802274316415265,1.0
10,5.712025316455695,0.42879746835443044,0.8007081947716159,1.0
10,5.837848101265822,0.4162151898734179,0.7988944789677466,1.0
10,5.963670886075948,0.4036329113924052,0.7968245704540833,1.0
10,6.089493670886076,0.3910506329113924,0.7944901062682481,1.0
10,6.215316455696202,0.37846835443037974,0.7918829654261756,1.0
10,6.341139240506329,0.3658860759493672,0.7889952498478131,1.0
10,6.466962025316455,0.3533037974683545,0.7858192397843712,1.0
10,6.592784810126582,0.3407215189873418,0.7823473237930602,1.0
10,6.718607594936708,0.32813924050632914,0.7785719030977425,1.0
10,6.844430379746835,0.31555696202531647,0.7744852698346929,1.0
10,6.970253164556961,0.3029746835443039,0.7700794583938035,1.0
10,7.096075949367088,0.2903924050632912,0.7653460689139114,1.0
10,7.2218987341772145,0.27781012658227855,0.7596960973528274,1.0
10,7.347721518987341,0.2652278481012659,0.7532952857492238,1.0
10,7.473544303797468,0.2526455696202532,0.7464703730461473,1.0
10,7.599367088607594,0.24006329113924063,0.7392094680252922,1.0
10,7.725189873417721,0.22748101265822795,0.7314983977268544,0.8
10,7.851012658227847,0.21489873417721528,0.7233201422724419,0.8
10,7.976835443037974,0.2023164556962026,0.7146540747579863,0.8
10,8.102658227848101,0.18973417721518993,0.7054749058348517,0.8
10,8.228481012658229,0.17715189873417714,0.6957512174584063,0.8
10,8.354303797468354,0.16456962025316457,0.6854434819677573,0.8
10,8.480126582278482,0.15198734177215178,0.6745015159633465,0.6
10,8.605949367088607,0.13940506329113922,0.6628614147165359,0.6
10,8.731772151898735,0.12682278481012654,0.6504421136750154,0.6
10,8.85759493670886,0.11424050632911398,0.6371416974889369,0.6
10,8.983417721518988,0.10165822784810119,0.6228330841887041,0.6
10,9.109240506329114,0.08907594936708862,0.6073569367028382,0.6
10,9.235063291139241,0.07649367088607595,0.5905046356563556,0.6
10,9.360886075949367,0.06391139240506338,-0.6941254875525135,0.0
10,9.486708860759494,0.051329113924050596,-0.7009435732480265,0.0
10,9.61253164556962,0.03874683544303803,-0.7091365883257749,0.0
10,9.738354430379747,0.026164556962025243,-0.7183775462815424,0.0
10,9.864177215189873,0.013582278481012677,-0.7291540480895291,0.0
10,9.99,0.0010000000000000009,-0.7527832128134897,0.0
30,0.05,0.9983333333333333,-0.5081180782320489,0.0
30,0.42873417721518986,0.9857088607594937,0.03405894499715494,0.2
30,0.8074683544303798,0.973084388185654,0.12441389456796034,0.23333333333333334
30,1.1862025316455698,0.9604599156118143,0.2003680514208312,0.3
30,1.5649367088607595,0.9478354430379747,0.26429415114227045,0.3333333333333333
30,1.9436708860759493,0.935210970464135,0.3183231275319052,0.3333333333333333
30,2.3224050632911393,0.9225864978902953,0.3643649775613761,0.36666666666666664
30,2.701139240506329,0.9099620253164558,0.40412852712504066,0.4
30,3.079873417721519,0.8973375527426161,0.4369546241017284,0.43333333333333335
30,3.4586075949367086,0.8847130801687764,0.46578316397191954,0.4666666666666667
30,3.8373417721518983,0.8720886075949368,0.4902054454921708,0.4666666666666667
30,4.216075949367088,0.8594641350210971,0.5114189566271662,0.4666666666666667
30,4.594810126582279,0.8468396624472574,0.529238099846567,0.5
30,4.9735443037974685,0.8342151898734177,0.5455180552687956,0.5
30,5.352278481012658,0.821590717299578,0.5580029971231716,0.5
30,5.731012658227848,0.8089662447257384,0.5695178686594708,0.5333333333333333
30,6.109746835443038,0.7963417721518987,0.5796836621880499,0.5666666666666667
30,6.4884810126582275,0.783717299578059,0.5869407976528318,0.5666666666666667
30,6.867215189873417,0.7710928270042194,0.5934402129378412,0.5666666666666667
30,7.245949367088607,0.7584683544303797,0.5992167296634262,0.5666666666666667
30,7.624683544303797,0.74584388185654,0.6035560159211713,0.6
30,8.003417721518987,0.7332194092827005,0.6057347540683928,0.6
30,8.382151898734177,0.7205949367088608,0.6071382785449323,0.6
30,8.760886075949367,0.7079704641350211,0.60771296167176,0.6
30,9.139620253164559,0.6953459915611814,0.6073840449707174,0.6
30,9.518354430379748,0.6827215189873417,0.6060606102057349,0.6
30,9.897088607594938,0.6700970464135021,0.603641777182181,0.6
30,10.275822784810128,0.6574725738396624,0.6000234502320009,0.6
30,10.654556962025318,0.6448481012658227,0.5946612293100889,0.6
30,11.033291139240507,0.6322236286919831,0.5880396964517026,0.6
30,11.412025316455697,0.6195991561181434,0.5801961461351067,0.6
30,11.790759493670887,0.6069746835443037,0.5710688313101969,0.6
30,12.169493670886077,0.5943502109704641,0.560606937704825,0.6
30,12.548227848101266,0.5817257383966244,0.5482834708614401,0.6
30,12.926962025316456,0.5691012658227848,0.5341444284138783,0.6
30,13.305696202531646,0.5564767932489452,0.5183767363096146,0.6
30,13.684430379746836,0.5438523206751055,0.5009911196038169,0.6
30,14.063164556962025,0.5312278481012658,0.4820081923423636,0.5666666666666667
30,14.441898734177215,0.5186033755274262,0.46145645576859046,0.5666666666666667
30,14.820632911392405,0.5059789029535865,0.4393704219963887,0.5666666666666667
30,15.199367088607595,0.4933544303797468,0.4157889148580297,0.5666666666666667
30,15.578101265822786,0.4807299578059071,0.39075356994699073,0.5666666666666667
30,15.956835443037976,0.4681054852320675,0.36286678180436444,0.5666666666666667
30,16.335569620253164,0.4554810126582278,0.3327201800037229,0.5333333333333333
30,16.714303797468354,0.44285654008438824,0.30114905350076726,0.5333333333333333
30,17.093037974683543,0.43023206751054854,0.2809843790605855,0.5333333333333333
30,17.471772151898733,0.41760759493670885,0.27078192139598195,0.5333333333333333
30,17.850506329113923,0.40498312236286926,0.2622190629578591,0.5333333333333333
30,18.229240506329116,0.39235864978902946,0.25308908076848785,0.5
30,18.607974683544306,0.37973417721518976,0.24550877213873565,0.5
30,18.986708860759496,0.3671097046413502,0.2380418849635513,0.5
30,19.365443037974686,0.3544852320675105,0.23007050332493037,0.5
30,19.744177215189875,0.3418607594936708,0.2223857026746588,0.5
30,20.122911392405065,0.3292362869198312,0.21626469800788137,0.5
30,20.501645569620255,0.3166118143459915,0.2096912669558287,0.5
30,20.880379746835445,0.3039873417721518,0.20264809420062235,0.5
30,21.259113924050634,0.2913628691983122,0.1951179857712102,0.5
30,21.637848101265824,0.27873839662447253,0.18908116394257898,0.5
30,22.016582278481014,0.26611392405063283,0.183634690078786,0.5
30,22.395316455696204,0.25348945147679325,0.1777409628502235,0.5
30,22.774050632911393,0.24086497890295355,0.1713742285704016,0.5
30,23.152784810126583,0.22824050632911386,0.16450774009730565,0.5
30,23.531518987341773,0.21561603375527427,0.15711319368430143,0.5
30,23.910253164556963,0.20299156118143458,0.15238016616271924,0.5
30,24.288987341772152,0.19036708860759488,0.1473130106667238,0.5
30,24.667721518987342,0.1777426160337553,0.14173617607028102,0.5
30,25.046455696202532,0.1651181434599156,0.1356031005914822,0.5
30,25.42518987341772,0.1524936708860759,0.12885983043405227,0.4666666666666667
30,25.80392405063291,0.13986919831223632,0.12144168517891285,0.4666666666666667
30,26.1826582278481,0.12724472573839662,0.11521458960603938,0.4666666666666667
30,26.56139240506329,0.11462025316455693,0.11035331197230581,0.4666666666666667
30,26.94012658227848,0.10199578059071734,0.10476607462375999,0.4666666666666667
30,27.31886075949367,0.08937130801687765,0.09833206299832412,0.4666666666666667
30,27.69759493670886,0.07674683544303795,0.09087767961446064,0.4666666666666667
30,28.07632911392405,0.06412236286919837,0.08211304899940944,0.4666666666666667
30,28.45506329113924,0.05149789029535867,0.07279010661708683,0.4666666666666667
30,28.83379746835443,0.03887341772151898,0.06617117935904808,0.4666666666666667
30,29.21253164556962,0.026248945147679392,0.05704566097099114,0.4666666666666667
30,29.59126582278481,0.013624472573839697,0.04378941940626966,0.4666666666666667
30,29.97,0.0010000000000000009,0.010413523577690941,0.43333333333333335
40,0.05,0.99875,-0.2871824278030731,0.175
40,0.5551898734177216,0.986120253164557,-0.23818182047248887,0.2
40,1.0603797468354432,0.9734905063291139,-0.10876852810236799,0.225
40,1.5655696202531648,0.9608607594936709,0.014535774602603321,0.275
40,2.070759493670886,0.9482310126582278,0.1124004894021751,0.325
40,2.575949367088608,0.9356012658227848,0.19160509588627853,0.375
40,3.0811392405063294,0.9229715189873418,0.2559022113235683,0.4
40,3.5863291139240507,0.9103417721518987,0.3082085584234621,0.4
40,4.0915189873417726,0.8977120253164557,0.35093575871055754,0.425
40,4.596708860759494,0.8850822784810126,0.38610423343433503,0.45
40,5.101898734177216,0.8724525316455696,0.4154352544955904,0.475
40,5.607088607594937,0.8598227848101265,0.440420257917762,0.5
40,6.112278481012659,0.8471930379746835,0.4602592876357695,0.5
40,6.617468354430381,0.8345632911392404,0.4773716247513143,0.525
40,7.122658227848102,0.8219335443037974,0.4910446530264587,0.525
40,7.6278481012658235,0.8093037974683543,0.5027846200972119,0.55
40,8.133037974683546,0.7966740506329113,0.5112414459809796,0.55
40,8.638227848101268,0.7840443037974683,0.518693174417402,0.55
40,9.14341772151899,0.7714145569620252,0.523544687628776,0.55
40,9.648607594936712,0.7587848101265822,0.5263063153507656,0.575
40,10.153797468354433,0.7461550632911391,0.527919721202437,0.575
40,10.658987341772153,0.7335253164556962,0.528253683374748,0.6
40,11.164177215189875,0.7208955696202531,0.5260834637203218,0.6
40,11.669367088607597,0.7082658227848101,0.5218596434855586,0.6
