beta2,tau2,det_mean,det_dwell,stoch_mean,stoch_dwell,stoch_fail_frac
0.9,10.000000000000002,0.3755039377192608,0.62,0.4508073693140812,0.6765217391304348,0.42
0.99,99.99999999999991,0.17039017693385078,0.5,0.2815306560969184,0.5735869565217391,0.36
0.999,999.9999999999991,0.1726880254748473,0.5,0.29377459607238315,0.5841304347826087,0.36
0.9999,10000.0000000011,0.1732238487277854,0.5,0.2963671982281438,0.5858695652173913,0.36
0.999999,999999.9999712444,0.17308018760174676,0.5,0.2966052400252874,0.586195652173913,0.37
