seed,amsgrad_1e6_xT,adam_1e6_xT
0,-0.9973077175390184,0.9995889697688106
1,-0.9988088156326975,1.0
2,-0.9942879027627545,0.9989458294584633
3,-0.9985554912236295,0.9974791523876149
4,-0.9993426456672395,0.99935872305333
5,-0.9998589961207821,1.0
6,-0.99891512279678,1.0
7,-0.996607783102209,1.0
8,-0.9989417539424953,1.0
9,-0.9998196215977898,0.998544263910933
10,-0.9966552375334282,0.9998551447904186
11,-0.9983899737344459,0.999455114361995
12,-0.998316912242047,0.9995027138319631
13,-0.9989352167280676,0.9997846033407903
14,-0.9965311394535684,1.0
15,-0.9909944505505256,1.0
16,-0.9955267942558496,0.9958161878431712
17,-0.999444797679082,0.9995980205211655
18,-0.9974249387857465,0.996195217355286
19,-0.9953634743038804,0.9965601449107494
