C,k,beta2,tau2,rho,T,failure_fraction,mean_x_T,std_x_T,wilson_ci_95_low,wilson_ci_95_high
300,0.5,0.9983333333333332,599.9999999999861,2.1926910299002818,15050,0.76,0.5964180582555314,0.7317048505613793,0.667676635719002,0.8330867449211199
300,1.0,0.9966666666666668,300.00000000000307,1.0963455149501773,15050,0.72,0.5312887963073957,0.7910830517571461,0.6251197121124493,0.7986031484291923
300,1.5,0.995,199.99999999999983,0.7308970099667769,15050,0.78,0.6095566280321183,0.7314456582135366,0.6892964640723263,0.8499871766170359
300,2.0,0.9933333333333332,149.99999999999903,0.5481727574750795,15050,0.82,0.6881087333804176,0.6747993081978323,0.7333264153744679,0.8829977454133746
300,3.0,0.99,99.99999999999991,0.3654485049833884,15050,0.73,0.5399705996077548,0.7730138045605331,0.6356788315330401,0.8073041590332216
300,5.0,0.9833333333333332,59.999999999999815,0.2192691029900325,15050,0.7,0.4893004991176327,0.8001780676250836,0.6041514528775586,0.7810511476148428
300,10.0,0.9666666666666668,30.000000000000007,0.1096345514950166,15050,0.73,0.5939528476671554,0.7055538733263783,0.6356788315330401,0.8073041590332216
1000,0.1,0.9999,10000.0000000011,10.9890109890122,50050,0.93,0.8882210014794907,0.4276779506644318,0.8625048519384759,0.9656807391201874
1000,0.25,0.99975,4000.0000000004407,4.39560439560488,50050,0.91,0.8431786006115034,0.4933034730237334,0.8377378707781101,0.9519274602313131
1000,0.5,0.9995,2000.0000000002203,2.19780219780244,50050,0.84,0.7573854571208476,0.5758328697578401,0.7557973053553682,0.8990471154817143
1000,1.0,0.999,999.9999999999992,1.098901098901098,50050,0.82,0.7301741590467556,0.6109111473877711,0.7333264153744679,0.8829977454133746
1000,1.5,0.9985,666.6666666666907,0.7326007326007591,50050,0.88,0.7992313199128428,0.5417878276205579,0.8018790050092598,0.9300059359263032
1000,2.0,0.998,499.99999999999955,0.549450549450549,50050,0.86,0.7590378905942117,0.5900146498746303,0.7786281171512964,0.9147365637350263
1000,3.0,0.997,333.33333333333303,0.366300366300366,50050,0.89,0.8047223437027542,0.5547574058834895,0.8136870342543766,0.9374580367058064
1000,5.0,0.995,199.99999999999983,0.2197802197802196,50050,0.84,0.7853461215676683,0.5093301060718134,0.7557973053553682,0.8990471154817143
1000,10.0,0.99,99.99999999999991,0.1098901098901098,50050,0.79,0.6832901953743771,0.6377690017440864,0.7002003108844285,0.8583434598295537
