C,k,beta2,T_baseline,T_saturation,baseline_fail_frac,wilson_ci_95_low,wilson_ci_95_high,saturation_fail_frac,saturation_mean_x_T,saturation_std_x_T,is_consistent
10,3.0,0.7,550,1100,0.5,0.40383152963549296,0.596168470364507,0.52,0.2166926206157292,0.8133673492052146,True
30,10.0,0.6666666666666667,1550,3100,0.5,0.40383152963549296,0.596168470364507,0.61,0.41185934990236517,0.7207547656769534,False
100,0.5,0.995,5050,10100,0.49,0.3942199885796587,0.5865198813957212,0.6,0.27063053141149135,0.8982891186457581,False
300,5.0,0.9833333333333332,15050,30100,0.7,0.6041514528775586,0.7810511476148428,0.71,0.5026112157278858,0.7865977458289318,True
1000,10.0,0.99,50050,100100,0.79,0.7002003108844285,0.8583434598295537,0.85,0.774485934447778,0.5491439844779451,True
